time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,G_PinkieRingAb,G_ThumbIJ,G_ThumbMPJ,G_IndexPIJ,G_IndexMPJ,G_MiddlePIJ,G_MiddleMPJ,G_RingPIJ,G_RingMPJ,G_PinkieMPJ,G_PinkiePIJ,G_PalmArch,G_ThumbRotate,G_ThumbAb,G_MiddleIndexAb,G_RingMiddleAb,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15,tactile16,tactile17,tactile18,tactile19,tactile20,tactile21,tactile22,tactile23,tactile24,tactile25,tactile26,tactile27,tactile28,tactile29,tactile30,tactile31,tactile32,tactile33,tactile34,tactile35,tactile36,tactile37,tactile38,tactile39,tactile40,tactile41,tactile42,tactile43,tactile44,tactile45,tactile46,tactile47,tactile48,tactile49,tactile50,tactile51,tactile52,tactile53,tactile54,tactile55,tactile56,tactile57,tactile58,tactile59,tactile60,tactile61,tactile62,tactile63,tactile64
2023/02/15/00:36:02.042807,3239729,1676381762,29705030,,394.0,2025.0,273.0,897.0,1495.0,1320.0,2347.0,1238.0,1869.0,853.0,1860.0,2923.0,1822.0,3037.0,757.0,345.0,12.0,37.0,24.0,3.0,6.0,9.0,19.0,31.0,90.0,31.0,5.0,5.0,1.0,124.0,7.0,20.0,16.0,10.0,26.0,17.0,2.0,13.0,5.0,14.0,2.0,2.0,14.0,3.0,2.0,76.0,39.0,275.0,2.0,9.0,1.0,3.0,1.0,4079.0,71.0,70.0,542.0,8.0,138.0,22.0,26.0,202.0,32.0,75.0,39.0,13.0,15.0,3661.0,61.0,36.0,42.0,3.0,10.0,11.0,12.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.042811,3239730,1676381762,30703656,,394.0,2031.0,272.0,896.0,1496.0,1320.0,2347.0,1238.0,1869.0,852.0,1859.0,2923.0,1822.0,3037.0,757.0,345.0,12.0,38.0,24.0,3.0,6.0,9.0,19.0,31.0,89.0,31.0,5.0,6.0,2.0,125.0,8.0,19.0,15.0,10.0,26.0,17.0,2.0,13.0,5.0,14.0,2.0,2.0,11.0,4.0,2.0,77.0,41.0,278.0,2.0,8.0,1.0,3.0,1.0,4078.0,72.0,71.0,546.0,8.0,138.0,21.0,27.0,203.0,32.0,73.0,38.0,14.0,14.0,3662.0,61.0,33.0,43.0,3.0,10.0,11.0,13.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.042821,3239731,1676381762,31703136,,394.0,2028.0,273.0,896.0,1495.0,1320.0,2347.0,1238.0,1870.0,851.0,1860.0,2923.0,1821.0,3037.0,757.0,345.0,13.0,37.0,24.0,3.0,6.0,8.0,19.0,29.0,90.0,32.0,5.0,5.0,1.0,125.0,8.0,21.0,16.0,10.0,26.0,17.0,2.0,14.0,2.0,12.0,2.0,2.0,14.0,6.0,2.0,75.0,39.0,278.0,2.0,8.0,1.0,3.0,1.0,4077.0,72.0,73.0,548.0,9.0,138.0,21.0,26.0,200.0,33.0,75.0,40.0,16.0,16.0,3662.0,62.0,35.0,45.0,3.0,10.0,12.0,12.0,36.0,16.0,21.0,14.0,6.0
2023/02/15/00:36:02.042826,3239732,1676381762,32702927,,395.0,2032.0,273.0,896.0,1495.0,1319.0,2348.0,1238.0,1870.0,849.0,1860.0,2922.0,1821.0,3037.0,757.0,346.0,13.0,38.0,24.0,4.0,7.0,9.0,21.0,30.0,90.0,32.0,5.0,6.0,2.0,124.0,8.0,19.0,16.0,11.0,26.0,17.0,2.0,13.0,4.0,14.0,2.0,2.0,14.0,5.0,2.0,77.0,40.0,278.0,2.0,9.0,1.0,3.0,1.0,4079.0,72.0,72.0,551.0,9.0,138.0,21.0,26.0,202.0,32.0,75.0,41.0,14.0,15.0,3663.0,60.0,34.0,42.0,3.0,10.0,12.0,13.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.042833,3239733,1676381762,33704420,,395.0,2025.0,273.0,895.0,1495.0,1319.0,2347.0,1238.0,1869.0,846.0,1860.0,2923.0,1821.0,3037.0,757.0,344.0,14.0,37.0,24.0,4.0,6.0,9.0,19.0,30.0,90.0,31.0,6.0,6.0,2.0,125.0,9.0,19.0,15.0,10.0,26.0,17.0,2.0,14.0,4.0,15.0,2.0,2.0,16.0,3.0,2.0,76.0,41.0,278.0,2.0,9.0,1.0,3.0,1.0,4078.0,71.0,75.0,556.0,9.0,138.0,21.0,26.0,202.0,33.0,71.0,41.0,14.0,14.0,3662.0,62.0,34.0,42.0,3.0,10.0,11.0,13.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.042920,3239734,1676381762,34741960,,394.0,2031.0,273.0,895.0,1495.0,1320.0,2348.0,1239.0,1869.0,845.0,1860.0,2922.0,1821.0,3037.0,759.0,345.0,12.0,38.0,25.0,3.0,6.0,8.0,19.0,30.0,90.0,32.0,6.0,6.0,2.0,124.0,7.0,19.0,15.0,10.0,28.0,17.0,2.0,14.0,4.0,14.0,2.0,2.0,14.0,3.0,2.0,77.0,40.0,277.0,2.0,9.0,1.0,3.0,1.0,4078.0,72.0,76.0,559.0,9.0,138.0,21.0,26.0,202.0,32.0,75.0,41.0,14.0,15.0,3660.0,60.0,34.0,42.0,3.0,10.0,11.0,13.0,36.0,16.0,20.0,15.0,6.0
2023/02/15/00:36:02.042930,3239735,1676381762,35706111,,394.0,2022.0,273.0,895.0,1495.0,1319.0,2349.0,1238.0,1870.0,844.0,1859.0,2923.0,1821.0,3037.0,757.0,346.0,13.0,38.0,25.0,3.0,6.0,9.0,19.0,30.0,89.0,31.0,5.0,6.0,2.0,124.0,8.0,19.0,15.0,10.0,27.0,16.0,2.0,14.0,4.0,14.0,2.0,2.0,14.0,3.0,2.0,77.0,40.0,277.0,2.0,8.0,1.0,3.0,1.0,4079.0,72.0,76.0,560.0,8.0,138.0,21.0,28.0,203.0,32.0,75.0,41.0,14.0,15.0,3661.0,61.0,34.0,42.0,3.0,10.0,11.0,14.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.042936,3239736,1676381762,36697738,,395.0,2022.0,273.0,896.0,1495.0,1319.0,2348.0,1238.0,1870.0,842.0,1860.0,2923.0,1821.0,3037.0,757.0,346.0,13.0,38.0,25.0,3.0,6.0,9.0,19.0,30.0,88.0,31.0,5.0,5.0,1.0,125.0,8.0,19.0,16.0,10.0,26.0,16.0,2.0,14.0,5.0,14.0,2.0,2.0,14.0,3.0,2.0,76.0,39.0,277.0,2.0,8.0,1.0,3.0,1.0,4079.0,72.0,76.0,565.0,9.0,138.0,21.0,28.0,203.0,32.0,75.0,40.0,14.0,16.0,3660.0,61.0,34.0,42.0,3.0,10.0,11.0,13.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.042939,3239737,1676381762,37706190,,395.0,2033.0,273.0,895.0,1495.0,1318.0,2348.0,1238.0,1870.0,840.0,1860.0,2922.0,1821.0,3037.0,756.0,346.0,12.0,37.0,25.0,3.0,6.0,9.0,18.0,30.0,89.0,32.0,5.0,6.0,1.0,124.0,8.0,19.0,15.0,10.0,27.0,16.0,2.0,14.0,4.0,14.0,2.0,2.0,14.0,3.0,2.0,76.0,40.0,276.0,2.0,8.0,1.0,3.0,1.0,4077.0,72.0,76.0,574.0,9.0,138.0,21.0,28.0,203.0,33.0,75.0,41.0,14.0,16.0,3661.0,61.0,34.0,43.0,3.0,10.0,11.0,13.0,36.0,16.0,21.0,16.0,6.0
2023/02/15/00:36:02.042942,3239738,1676381762,38704779,,395.0,2023.0,272.0,895.0,1494.0,1319.0,2347.0,1239.0,1870.0,837.0,1860.0,2923.0,1821.0,3037.0,757.0,345.0,13.0,38.0,25.0,3.0,7.0,8.0,20.0,30.0,88.0,31.0,5.0,5.0,1.0,125.0,8.0,19.0,16.0,10.0,27.0,15.0,2.0,13.0,4.0,14.0,2.0,2.0,16.0,3.0,2.0,75.0,41.0,276.0,2.0,8.0,1.0,3.0,1.0,4079.0,72.0,76.0,576.0,8.0,138.0,21.0,28.0,202.0,32.0,74.0,40.0,14.0,16.0,3660.0,60.0,34.0,42.0,3.0,10.0,11.0,12.0,36.0,16.0,21.0,15.0,6.0
